Smiles,PDBID,LigID
CC(C)C[C@H](C(=O)OC)N(C(=O)C)O,7TLN,INC
C[C@@H](C(=O)NCC(=O)Nc1ccc(cc1)[N+](=O)[O-])NC(=O)C(Cc2ccccc2)C(=O)NO,5TLN,BAN
c1ccc(cc1)C[C@H](CC(=O)O)C(=O)O,1HYT,BZS

