Smiles,PDBID,LigID
C[C@@]12[C@@H]([C@@H](C[C@@H](O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)NC)OC,1AQ1,STU
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N,1FIN,ATP
COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)O,1DI8,DTQ
c1ccnc(c1)NS(=O)(=O)c2ccc(cc2)NCC3=C4c5c(ncs5)C=CC4=NC3=O,1FVV,107
C1CCC(CC1)COc2c(c(nc(n2)N)N)N=O,1E1X,NW1
c1[nH]c2c(n1)c(nc(n2)N)OCC3CCCCC3,1E1V,CMG
